sentences_original,sen_values,label,lemmatized_tokens
grenier is terrific bringing an unforced rapid fire delivery to toback s heidegger and nietzsche referencing dialogue ,0.875,pos,"['grenier', 'is', 'terrific', 'bringing', 'an', 'unforced', 'rapid', 'fire', 'delivery', 'to', 'toback', 's', 'heidegger', 'and', 'nietzsche', 'referencing', 'dialogue']"
the sundance film festival has become so buzz obsessed that fans and producers descend upon utah each january to ferret out the next great thing ,0.55556,neutral,"['the', 'sundance', 'film', 'festival', 'ha', 'become', 'so', 'buzz', 'obsessed', 'that', 'fan', 'and', 'producer', 'descend', 'upon', 'utah', 'each', 'january', 'to', 'ferret', 'out', 'the', 'next', 'great', 'thing']"
 tadpole was one of the films so declared this year but it s really more of the next pretty good thing ,0.51389,neutral,"['tadpole', 'wa', 'one', 'of', 'the', 'film', 'so', 'declared', 'this', 'year', 'but', 'it', 's', 'really', 'more', 'of', 'the', 'next', 'pretty', 'good', 'thing']"
the actors are fantastic ,0.94444,pos,"['the', 'actor', 'are', 'fantastic']"
they are what makes it worth the trip to the theatre ,0.72222,pos,"['they', 'are', 'what', 'make', 'it', 'worth', 'the', 'trip', 'to', 'the', 'theatre']"
 taymor utilizes the idea of making kahlo s art a living breathing part of the movie often catapulting the artist into her own work ,0.93056,pos,"['taymor', 'utilizes', 'the', 'idea', 'of', 'making', 'kahlo', 's', 'art', 'a', 'living', 'breathing', 'part', 'of', 'the', 'movie', 'often', 'catapulting', 'the', 'artist', 'into', 'her', 'own', 'work']"
this is n t a new idea ,0.33333,neg,"['this', 'is', 'n', 't', 'a', 'new', 'idea']"
it s been done before but never so vividly or with so much passion ,0.81944,pos,"['it', 's', 'been', 'done', 'before', 'but', 'never', 'so', 'vividly', 'or', 'with', 'so', 'much', 'passion']"
 take care of my cat is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals ,0.77778,pos,"['take', 'care', 'of', 'my', 'cat', 'is', 'an', 'honestly', 'nice', 'little', 'film', 'that', 'take', 'u', 'on', 'an', 'examination', 'of', 'young', 'adult', 'life', 'in', 'urban', 'south', 'korea', 'through', 'the', 'heart', 'and', 'mind', 'of', 'the', 'five', 'principal']"
it s not life affirming its vulgar and mean but i liked it ,0.56944,neutral,"['it', 's', 'not', 'life', 'affirming', 'it', 'vulgar', 'and', 'mean', 'but', 'i', 'liked', 'it']"
what empire lacks in depth it makes up for with its heart ,0.73611,pos,"['what', 'empire', 'lack', 'in', 'depth', 'it', 'make', 'up', 'for', 'with', 'it', 'heart']"
light silly photographed with colour and depth and rather a good time ,0.86111,pos,"['light', 'silly', 'photographed', 'with', 'colour', 'and', 'depth', 'and', 'rather', 'a', 'good', 'time']"
but tongue in cheek preposterousness has always been part of for the most part wilde s droll whimsy helps being earnest overcome its weaknesses and parker s creative interference ,0.68056,pos,"['but', 'tongue', 'in', 'cheek', 'preposterousness', 'ha', 'always', 'been', 'part', 'of', 'for', 'the', 'most', 'part', 'wilde', 's', 'droll', 'whimsy', 'help', 'being', 'earnest', 'overcome', 'it', 'weakness', 'and', 'parker', 's', 'creative', 'interference']"
much of the movie s charm lies in the utter cuteness of stuart and margolo ,0.73611,pos,"['much', 'of', 'the', 'movie', 's', 'charm', 'lie', 'in', 'the', 'utter', 'cuteness', 'of', 'stuart', 'and', 'margolo']"
their computer animated faces are very expressive ,0.72222,pos,"['their', 'computer', 'animated', 'face', 'are', 'very', 'expressive']"
the path ice age follows most closely though is the one established by warner bros giant chuck jones who died a matter of weeks before the movie s release ,0.54167,neutral,"['the', 'path', 'ice', 'age', 'follows', 'most', 'closely', 'though', 'is', 'the', 'one', 'established', 'by', 'warner', 'bros', 'giant', 'chuck', 'jones', 'who', 'died', 'a', 'matter', 'of', 'week', 'before', 'the', 'movie', 's', 'release']"
 spiced with humor i speak fluent flatula advises denlopp after a rather er bubbly exchange with an alien deckhand and witty updatings silver s parrot has been replaced with morph a cute alien creature who mimics everyone and everything around ,0.68056,pos,"['spiced', 'with', 'humor', 'i', 'speak', 'fluent', 'flatula', 'advises', 'denlopp', 'after', 'a', 'rather', 'er', 'bubbly', 'exchange', 'with', 'an', 'alien', 'deckhand', 'and', 'witty', 'updating', 'silver', 's', 'parrot', 'ha', 'been', 'replaced', 'with', 'morph', 'a', 'cute', 'alien', 'creature', 'who', 'mimic', 'everyone', 'and', 'everything', 'around']"
much of it comes from the brave uninhibited performances by its lead actors ,0.8333299999999999,pos,"['much', 'of', 'it', 'come', 'from', 'the', 'brave', 'uninhibited', 'performance', 'by', 'it', 'lead', 'actor']"
 13 conversations holds its goodwill close but is relatively slow to come to the point ,0.40278,neutral,"['13', 'conversation', 'hold', 'it', 'goodwill', 'close', 'but', 'is', 'relatively', 'slow', 'to', 'come', 'to', 'the', 'point']"
 auto focus works as an unusual biopic and document of male swingers in the playboy era,0.65278,pos,"['auto', 'focus', 'work', 'a', 'an', 'unusual', 'biopic', 'and', 'document', 'of', 'male', 'swinger', 'in', 'the', 'playboy', 'era']"
if mr zhang s subject matter is to some degree at least quintessentially american his approach to storytelling might be called iranian ,0.52778,neutral,"['if', 'mr', 'zhang', 's', 'subject', 'matter', 'is', 'to', 'some', 'degree', 'at', 'least', 'quintessentially', 'american', 'his', 'approach', 'to', 'storytelling', 'might', 'be', 'called', 'iranian']"
 a sour little movie at its core an exploration of the emptiness that underlay the relentless gaiety of the 1920 s the film s ending has a what was it all for ,0.16667,neg,"['a', 'sour', 'little', 'movie', 'at', 'it', 'core', 'an', 'exploration', 'of', 'the', 'emptiness', 'that', 'underlay', 'the', 'relentless', 'gaiety', 'of', 'the', '1920', 's', 'the', 'film', 's', 'ending', 'ha', 'a', 'what', 'wa', 'it', 'all', 'for']"
feeling to it but like the 1920 s the trip there is a great deal of fun ,0.77778,pos,"['feeling', 'to', 'it', 'but', 'like', 'the', '1920', 's', 'the', 'trip', 'there', 'is', 'a', 'great', 'deal', 'of', 'fun']"
 cremaster 3 should come with the warning for serious film buffs only ,0.61111,pos,"['cremaster', '3', 'should', 'come', 'with', 'the', 'warning', 'for', 'serious', 'film', 'buff', 'only']"
made me unintentionally famous as the queasy stomached critic who staggered from the theater and blacked out in the lobby ,0.375,neg,"['made', 'me', 'unintentionally', 'famous', 'a', 'the', 'queasy', 'stomached', 'critic', 'who', 'staggered', 'from', 'the', 'theater', 'and', 'blacked', 'out', 'in', 'the', 'lobby']"
but believe it or not it s one of the most beautiful evocative works i ve seen ,0.94444,pos,"['but', 'believe', 'it', 'or', 'not', 'it', 's', 'one', 'of', 'the', 'most', 'beautiful', 'evocative', 'work', 'i', 've', 'seen']"
 a spoof comedy that carries its share of laughs sometimes a chuckle sometimes a guffaw and to my great pleasure the occasional belly laugh ,0.86111,pos,"['a', 'spoof', 'comedy', 'that', 'carry', 'it', 'share', 'of', 'laugh', 'sometimes', 'a', 'chuckle', 'sometimes', 'a', 'guffaw', 'and', 'to', 'my', 'great', 'pleasure', 'the', 'occasional', 'belly', 'laugh']"
 city reminds us how realistically nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self caricature of analyze this 1999 and analyze that promised or threatened for later this year ,0.63889,pos,"['city', 'reminds', 'u', 'how', 'realistically', 'nuanced', 'a', 'robert', 'de', 'niro', 'performance', 'can', 'be', 'when', 'he', 'is', 'not', 'more', 'lucratively', 'engaged', 'in', 'the', 'shameless', 'self', 'caricature', 'of', 'analyze', 'this', '1999', 'and', 'analyze', 'that', 'promised', 'or', 'threatened', 'for', 'later', 'this', 'year']"
the wanton slipperiness of corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art ,0.88889,pos,"['the', 'wanton', 'slipperiness', 'of', 'corpus', 'and', 'it', 'amiable', 'jerking', 'and', 'reshaping', 'of', 'physical', 'time', 'and', 'space', 'would', 'make', 'it', 'a', 'great', 'piece', 'to', 'watch', 'with', 'kid', 'and', 'use', 'to', 'introduce', 'video', 'a', 'art']"
 frailty starts out like a typical bible killer story but it turns out to be significantly different and better than most films with this theme ,0.80556,pos,"['frailty', 'start', 'out', 'like', 'a', 'typical', 'bible', 'killer', 'story', 'but', 'it', 'turn', 'out', 'to', 'be', 'significantly', 'different', 'and', 'better', 'than', 'most', 'film', 'with', 'this', 'theme']"
for those who pride themselves on sophisticated discerning taste this might not seem like the proper cup of tea however it is almost guaranteed that even the stuffiest cinema goers will laugh their off for an hour and a half ,0.8333299999999999,pos,"['for', 'those', 'who', 'pride', 'themselves', 'on', 'sophisticated', 'discerning', 'taste', 'this', 'might', 'not', 'seem', 'like', 'the', 'proper', 'cup', 'of', 'tea', 'however', 'it', 'is', 'almost', 'guaranteed', 'that', 'even', 'the', 'stuffiest', 'cinema', 'goer', 'will', 'laugh', 'their', 'off', 'for', 'an', 'hour', 'and', 'a', 'half']"
it cuts to the core of what it actually means to face your fears to be a girl in a world of boys to be a boy truly in love with a girl and to ride the big metaphorical wave that is life wherever it takes you ,0.81944,pos,"['it', 'cut', 'to', 'the', 'core', 'of', 'what', 'it', 'actually', 'mean', 'to', 'face', 'your', 'fear', 'to', 'be', 'a', 'girl', 'in', 'a', 'world', 'of', 'boy', 'to', 'be', 'a', 'boy', 'truly', 'in', 'love', 'with', 'a', 'girl', 'and', 'to', 'ride', 'the', 'big', 'metaphorical', 'wave', 'that', 'is', 'life', 'wherever', 'it', 'take', 'you']"
a welcome relief from baseball movies that try too hard to be mythic this one is a sweet and modest and ultimately winning story ,0.66667,pos,"['a', 'welcome', 'relief', 'from', 'baseball', 'movie', 'that', 'try', 'too', 'hard', 'to', 'be', 'mythic', 'this', 'one', 'is', 'a', 'sweet', 'and', 'modest', 'and', 'ultimately', 'winning', 'story']"
a crisp psychological drama and a fascinating little thriller that would have been perfect for an old twilight zone episode ,0.77778,pos,"['a', 'crisp', 'psychological', 'drama', 'and', 'a', 'fascinating', 'little', 'thriller', 'that', 'would', 'have', 'been', 'perfect', 'for', 'an', 'old', 'twilight', 'zone', 'episode']"
it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing ,0.65278,pos,"['it', 'ha', 'more', 'than', 'a', 'few', 'moment', 'that', 'are', 'insightful', 'enough', 'to', 'be', 'fondly', 'remembered', 'in', 'the', 'endlessly', 'challenging', 'maze', 'of', 'moviegoing']"
opening with some contrived banter cliches and some loose ends the screenplay only comes into its own in the second half ,0.45833,neutral,"['opening', 'with', 'some', 'contrived', 'banter', 'cliche', 'and', 'some', 'loose', 'end', 'the', 'screenplay', 'only', 'come', 'into', 'it', 'own', 'in', 'the', 'second', 'half']"
an uncluttered resonant gem that relays its universal points without lectures or confrontations ,0.75,pos,"['an', 'uncluttered', 'resonant', 'gem', 'that', 'relay', 'it', 'universal', 'point', 'without', 'lecture', 'or', 'confrontation']"
 the cockettes provides a window into a subculture hell bent on expressing itself in every way imaginable ,0.77778,pos,"['the', 'cockettes', 'provides', 'a', 'window', 'into', 'a', 'subculture', 'hell', 'bent', 'on', 'expressing', 'itself', 'in', 'every', 'way', 'imaginable']"
a smart steamy mix of road movie coming of age story and political satire ,0.66667,pos,"['a', 'smart', 'steamy', 'mix', 'of', 'road', 'movie', 'coming', 'of', 'age', 'story', 'and', 'political', 'satire']"
the modern day royals have nothing on these guys when it comes to scandals ,0.38889,neg,"['the', 'modern', 'day', 'royal', 'have', 'nothing', 'on', 'these', 'guy', 'when', 'it', 'come', 'to', 'scandal']"
it s only in fairy tales that princesses that are married for political reason live happily ever after ,0.36111,neg,"['it', 's', 'only', 'in', 'fairy', 'tale', 'that', 'princess', 'that', 'are', 'married', 'for', 'political', 'reason', 'live', 'happily', 'ever', 'after']"
a terrific b movie in fact the best in recent memory ,1.0,pos,"['a', 'terrific', 'b', 'movie', 'in', 'fact', 'the', 'best', 'in', 'recent', 'memory']"
 birthday girl is an actor s movie first and foremost ,0.70833,pos,"['birthday', 'girl', 'is', 'an', 'actor', 's', 'movie', 'first', 'and', 'foremost']"
i walked away from this new version of e t just as i hoped i would with moist eyes ,0.875,pos,"['i', 'walked', 'away', 'from', 'this', 'new', 'version', 'of', 'e', 't', 'just', 'a', 'i', 'hoped', 'i', 'would', 'with', 'moist', 'eye']"
for devotees of french cinema safe conduct is so rich with period minutiae it s like dying and going to celluloid heaven ,0.9027799999999999,pos,"['for', 'devotee', 'of', 'french', 'cinema', 'safe', 'conduct', 'is', 'so', 'rich', 'with', 'period', 'minutia', 'it', 's', 'like', 'dying', 'and', 'going', 'to', 'celluloid', 'heaven']"
what s really so appealing about the characters is their resemblance to everyday children ,0.70833,pos,"['what', 's', 'really', 'so', 'appealing', 'about', 'the', 'character', 'is', 'their', 'resemblance', 'to', 'everyday', 'child']"
shamelessly resorting to pee related sight gags that might even cause tom green a grimace still myer s energy and the silliness of it all eventually prevail,0.54167,neutral,"['shamelessly', 'resorting', 'to', 'pee', 'related', 'sight', 'gag', 'that', 'might', 'even', 'cause', 'tom', 'green', 'a', 'grimace', 'still', 'myer', 's', 'energy', 'and', 'the', 'silliness', 'of', 'it', 'all', 'eventually', 'prevail']"
an absurdist spider web ,0.36111,neg,"['an', 'absurdist', 'spider', 'web']"
if you re as happy listening to movies as you are watching them and the slow parade of human frailty fascinates you then you re at the right film ,0.63889,pos,"['if', 'you', 're', 'a', 'happy', 'listening', 'to', 'movie', 'a', 'you', 'are', 'watching', 'them', 'and', 'the', 'slow', 'parade', 'of', 'human', 'frailty', 'fascinates', 'you', 'then', 'you', 're', 'at', 'the', 'right', 'film']"
this version moves beyond the original s nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema s inability to stand in for true lived experience ,0.55556,neutral,"['this', 'version', 'move', 'beyond', 'the', 'original', 's', 'nostalgia', 'for', 'the', 'communal', 'film', 'experience', 'of', 'yesteryear', 'to', 'a', 'deeper', 'realization', 'of', 'cinema', 's', 'inability', 'to', 'stand', 'in', 'for', 'true', 'lived', 'experience']"
some movies blend together as they become distant memories ,0.44443999999999995,neutral,"['some', 'movie', 'blend', 'together', 'a', 'they', 'become', 'distant', 'memory']"
mention solaris five years from now and i m sure those who saw it will have an opinion to share ,0.66667,pos,"['mention', 'solaris', 'five', 'year', 'from', 'now', 'and', 'i', 'm', 'sure', 'those', 'who', 'saw', 'it', 'will', 'have', 'an', 'opinion', 'to', 'share']"
allen s funniest and most likeable movie in years ,0.875,pos,"['allen', 's', 'funniest', 'and', 'most', 'likeable', 'movie', 'in', 'year']"
it s a glorious spectacle like those d w griffith made in the early days of silent film ,0.80556,pos,"['it', 's', 'a', 'glorious', 'spectacle', 'like', 'those', 'd', 'w', 'griffith', 'made', 'in', 'the', 'early', 'day', 'of', 'silent', 'film']"
this comic gem is as delightful as it is derivative ,0.81944,pos,"['this', 'comic', 'gem', 'is', 'a', 'delightful', 'a', 'it', 'is', 'derivative']"
more timely than its director could ever have dreamed this quietly lyrical tale probes the ambiguous welcome extended by iran to the afghani refugees who streamed across its borders desperate for work and food ,0.81944,pos,"['more', 'timely', 'than', 'it', 'director', 'could', 'ever', 'have', 'dreamed', 'this', 'quietly', 'lyrical', 'tale', 'probe', 'the', 'ambiguous', 'welcome', 'extended', 'by', 'iran', 'to', 'the', 'afghani', 'refugee', 'who', 'streamed', 'across', 'it', 'border', 'desperate', 'for', 'work', 'and', 'food']"
the leaping story line shaped by director peter kosminsky into sharp slivers and cutting impressions shows all the signs of rich detail condensed into a few evocative images and striking character traits ,0.625,pos,"['the', 'leaping', 'story', 'line', 'shaped', 'by', 'director', 'peter', 'kosminsky', 'into', 'sharp', 'sliver', 'and', 'cutting', 'impression', 'show', 'all', 'the', 'sign', 'of', 'rich', 'detail', 'condensed', 'into', 'a', 'few', 'evocative', 'image', 'and', 'striking', 'character', 'trait']"
with three excellent principal singers a youthful and good looking diva and tenor and richly handsome locations it s enough to make you wish jacquot had left well enough alone and just filmed the opera without all these distortions of perspective ,0.45833,neutral,"['with', 'three', 'excellent', 'principal', 'singer', 'a', 'youthful', 'and', 'good', 'looking', 'diva', 'and', 'tenor', 'and', 'richly', 'handsome', 'location', 'it', 's', 'enough', 'to', 'make', 'you', 'wish', 'jacquot', 'had', 'left', 'well', 'enough', 'alone', 'and', 'just', 'filmed', 'the', 'opera', 'without', 'all', 'these', 'distortion', 'of', 'perspective']"
the production has been made with an enormous amount of affection so we believe these characters love each other ,0.8333299999999999,pos,"['the', 'production', 'ha', 'been', 'made', 'with', 'an', 'enormous', 'amount', 'of', 'affection', 'so', 'we', 'believe', 'these', 'character', 'love', 'each', 'other']"
certainly the performances are worthwhile ,0.72222,pos,"['certainly', 'the', 'performance', 'are', 'worthwhile']"
winds up being both revelatory and narcissistic achieving some honest insight into relationships that most high concept films candy coat with pat storylines precious circumstances and beautiful stars ,0.68056,pos,"['wind', 'up', 'being', 'both', 'revelatory', 'and', 'narcissistic', 'achieving', 'some', 'honest', 'insight', 'into', 'relationship', 'that', 'most', 'high', 'concept', 'film', 'candy', 'coat', 'with', 'pat', 'storyline', 'precious', 'circumstance', 'and', 'beautiful', 'star']"
watching these eccentrics is both inspiring and pure joy ,0.8472200000000001,pos,"['watching', 'these', 'eccentric', 'is', 'both', 'inspiring', 'and', 'pure', 'joy']"
steven spielberg brings us another masterpiece,0.98611,pos,"['steven', 'spielberg', 'brings', 'u', 'another', 'masterpiece']"
finally the french produced read my lips is a movie that understands characters must come first ,0.73611,pos,"['finally', 'the', 'french', 'produced', 'read', 'my', 'lip', 'is', 'a', 'movie', 'that', 'understands', 'character', 'must', 'come', 'first']"
ms seigner and mr serrault bring fresh unforced naturalism to their characters ,0.80556,pos,"['m', 'seigner', 'and', 'mr', 'serrault', 'bring', 'fresh', 'unforced', 'naturalism', 'to', 'their', 'character']"
allen shows he can outgag any of those young whippersnappers making moving pictures today ,0.76389,pos,"['allen', 'show', 'he', 'can', 'outgag', 'any', 'of', 'those', 'young', 'whippersnapper', 'making', 'moving', 'picture', 'today']"
a good film with a solid pedigree both in front of and more specifically behind the camera ,0.79167,pos,"['a', 'good', 'film', 'with', 'a', 'solid', 'pedigree', 'both', 'in', 'front', 'of', 'and', 'more', 'specifically', 'behind', 'the', 'camera']"
by no means a slam dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act it still comes off as a touching transcendent love story ,0.23611,neg,"['by', 'no', 'mean', 'a', 'slam', 'dunk', 'and', 'sure', 'to', 'ultimately', 'disappoint', 'the', 'action', 'fan', 'who', 'will', 'be', 'moved', 'to', 'the', 'edge', 'of', 'their', 'seat', 'by', 'the', 'dynamic', 'first', 'act', 'it', 'still', 'come', 'off', 'a', 'a', 'touching', 'transcendent', 'love', 'story']"
i encourage young and old alike to go see this unique and entertaining twist on the classic whale s tale you wo n t be sorry ,0.875,pos,"['i', 'encourage', 'young', 'and', 'old', 'alike', 'to', 'go', 'see', 'this', 'unique', 'and', 'entertaining', 'twist', 'on', 'the', 'classic', 'whale', 's', 'tale', 'you', 'wo', 'n', 't', 'be', 'sorry']"
a literary detective story is still a detective story and aficionados of the whodunit wo n t be disappointed ,0.69444,pos,"['a', 'literary', 'detective', 'story', 'is', 'still', 'a', 'detective', 'story', 'and', 'aficionado', 'of', 'the', 'whodunit', 'wo', 'n', 't', 'be', 'disappointed']"
high crimes steals so freely from other movies and combines enough disparate types of films that it ca n t help but engage an audience ,0.61111,pos,"['high', 'crime', 'steal', 'so', 'freely', 'from', 'other', 'movie', 'and', 'combine', 'enough', 'disparate', 'type', 'of', 'film', 'that', 'it', 'ca', 'n', 't', 'help', 'but', 'engage', 'an', 'audience']"
if you re a fan of the series you ll love it and probably want to see it twice ,0.9166700000000001,pos,"['if', 'you', 're', 'a', 'fan', 'of', 'the', 'series', 'you', 'll', 'love', 'it', 'and', 'probably', 'want', 'to', 'see', 'it', 'twice']"
i will be ,0.625,pos,"['i', 'will', 'be']"
it celebrates the group s playful spark of nonconformity glancing vividly back at what hibiscus grandly called his angels of light ,0.72222,pos,"['it', 'celebrates', 'the', 'group', 's', 'playful', 'spark', 'of', 'nonconformity', 'glancing', 'vividly', 'back', 'at', 'what', 'hibiscus', 'grandly', 'called', 'his', 'angel', 'of', 'light']"
the story is inspiring ironic and revelatory of just how ridiculous and money oriented the record industry really is ,0.80556,pos,"['the', 'story', 'is', 'inspiring', 'ironic', 'and', 'revelatory', 'of', 'just', 'how', 'ridiculous', 'and', 'money', 'oriented', 'the', 'record', 'industry', 'really', 'is']"
it is also a testament to the integrity and vision of the band ,0.75,pos,"['it', 'is', 'also', 'a', 'testament', 'to', 'the', 'integrity', 'and', 'vision', 'of', 'the', 'band']"
laced with liberal doses of dark humor gorgeous exterior photography and a stable full of solid performances no such thing is a fascinating little tale ,0.86111,pos,"['laced', 'with', 'liberal', 'dos', 'of', 'dark', 'humor', 'gorgeous', 'exterior', 'photography', 'and', 'a', 'stable', 'full', 'of', 'solid', 'performance', 'no', 'such', 'thing', 'is', 'a', 'fascinating', 'little', 'tale']"
huppert s show to steal and she makes a meal of it channeling kathy baker s creepy turn as the repressed mother on boston public just as much as 8 women s augustine ,0.61111,pos,"['huppert', 's', 'show', 'to', 'steal', 'and', 'she', 'make', 'a', 'meal', 'of', 'it', 'channeling', 'kathy', 'baker', 's', 'creepy', 'turn', 'a', 'the', 'repressed', 'mother', 'on', 'boston', 'public', 'just', 'a', 'much', 'a', '8', 'woman', 's', 'augustine']"
nair does n t treat the issues lightly ,0.61111,pos,"['nair', 'doe', 'n', 't', 'treat', 'the', 'issue', 'lightly']"
she allows each character to confront their problems openly and honestly ,0.72222,pos,"['she', 'allows', 'each', 'character', 'to', 'confront', 'their', 'problem', 'openly', 'and', 'honestly']"
one of the best silly horror movies of recent memory with some real shocks in store for unwary viewers ,0.88889,pos,"['one', 'of', 'the', 'best', 'silly', 'horror', 'movie', 'of', 'recent', 'memory', 'with', 'some', 'real', 'shock', 'in', 'store', 'for', 'unwary', 'viewer']"
the work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them ,0.77778,pos,"['the', 'work', 'of', 'a', 'filmmaker', 'who', 'ha', 'secret', 'buried', 'at', 'the', 'heart', 'of', 'his', 'story', 'and', 'know', 'how', 'to', 'take', 'time', 'revealing', 'them']"
